web-scraper-order,web-scraper-start-url,link,link-href,name,address,contact,reviewer_name,reviewer_rate,reviews,rate,reviewer_text,open_establishment,type,dishes,cost,services,pages,pages-href
"1592239193-360","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/buffet-101-tipolo/info","Buffet 101","City Time Square, Mantawe Avenue, Tipolo, Mandaue City","+63325172222","[{""reviewer_name"":""Eyah Shanna Antonio""}]","[{""reviewer_rate"":""3.0""}]","273 Reviews","4.3","[{""reviewer_text"":""My family & I went here for lunch and we were one of the few customers who arrived just as they opened at 11:30am.\n\nI love the interiors.. fancy & spacious. However, the seats assigned to us (Table #85 I think.. the ones near the restroom & japanese station with the half circle couches) had a damaged couch so it was so uncomfortable because it just kept tickling my thighs. LOL. I had to pull out a separate chair. Did not bother ask to be seated at another table because the lady who escorted us to our seats seemed to be in a rush.\n\nI roamed around to check all of the food available before adding them to my plate but there were very limited food options as compared to Vikings.\n\nI loved the...read more""}]","Opens at 12noon","Casual Dining - Filipino, Chinese, Korean, Japanese","Noodle, Pizza, Roasted Beef, Tea","PHP1600 for two people (approx.)","[{""services"":""Buffet""},{""services"":""Indoor Seating""}]","",""
"1592237768-280","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/chik-chow-food-express-buffet-kamputhaw/info","Chik Chow Food Express Buffet","316 - C General Maxilom Avenue, Kamputhaw, Cebu City","+63322559959","[{""reviewer_name"":""Demi Bernice Eslit""},{""reviewer_name"":""Eric Cabaluna Nacorda""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""3.5""}]","38 Reviews","3.8","[{""reviewer_text"":""I love the place! It's not easily discoverable though because it's not at the side of the street, they need bigger signs so people would be able to see them. Went here with a co-teacher when I was still teaching. Their food is good! Although they dont have that much food choices, the Filipino-Chinese brand is really present. I think it's 300 per person. I also think you need to make reservations before you go there because it's not a huge and spacious place.""},{""reviewer_text"":""Been here 6 times. The lengua and the all-meat dinugoan keeps calling me back. But they do need to introduce a few more dishes to the mix. The location is very much accessible and parking is plentiful. However, the attendants are a little bit too at home, with their loud conversations. Some piped-in soft music would be nice, to drown some of the noise from neighboring tables.""}]","Opens at 11am","Casual Dining - Filipino, Chinese","Roasted Pork, Meatballs","PHP600 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Beer""},{""services"":""Outdoor Seating""},{""services"":""Buffet""},{""services"":""Indoor Seating""},{""services"":""Wifi""}]","...","https://www.zomato.com/cebu/restaurants?page=6"
"1592238644-326","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/cardinal-coffea-capitol-site-cebu-city/info","Cardinal Coffea","Don Jose Avila Street, Capitol Site, Cebu City","+63328887658","[]","[]","80 Reviews","4.4","[{""reviewer_text"":""I'm not a fan of cakes. But this one? You will ask for more. \""YEMA CAKE\"" at Php 90.00 per slice and Php 350.00 whole.\n\nCake was so good and not too sweet perfect to my taste. Nice ambiance.\n\nLocated at Don Jose Avila Street, Capitol Site, Cebu City.""}]","Opens at 7am","Café - Coffee","null","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Indoor Seating""},{""services"":""Desserts and Bakes""},{""services"":""Wifi""}]","3","https://www.zomato.com/cebu/restaurants?page=3"
"1592237950-290","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/chatime-lahug-cebu-city/info","Chatime","eBloc 2, IT Park, Lahug, Cebu City","+63325052121","[{""reviewer_name"":""Tiffany""},{""reviewer_name"":""Angelie Myrrh Parojinog""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""4.0""}]","91 Reviews","4.1","[{""reviewer_text"":""""},{""reviewer_text"":""Place is packed with lots of customers at night therefore the service wa very slow. Had to wait for almost am hour to get served. Place is very clean despite the crowd. The arrangement of seats was a little too tight and it's very noisy inside""}]","Opens at 11am","Beverage Shop - Beverages","PHP350 for two people (approx.)","","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Outdoor Seating""}]","...","https://www.zomato.com/cebu/restaurants?page=6"
"1592238080-295","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/coffee-factory-banilad-mandaue-city/info","Coffee Factory","A. S. Fortuna Street, Banilad, Mandaue City","+63323493361","[{""reviewer_name"":""Iumpad""},{""reviewer_name"":""Cristina Danielle Mercado""}]","[{""reviewer_rate"":""1.0""},{""reviewer_rate"":""4.0""}]","67 Reviews","4.0","[{""reviewer_text"":""one of the recent orders arrived with just half of the content since the take-out order wasn't properly sealed. Still ordered the next day for take-away, and wrote on the instructions that they seal it properly. Was surprised the order arrived with a voucher since i didn't ask for it, only to realize it was a generic foodpanda voucher for NEW user. what a joke. How can i be a NEW user when I've been using food panda to order from them? But since, they open early, i made another order again. After waiting, instead of a hot latte, i received an iced one. I double checked my foodpanda order to see if i made a mistake but no, especially that i order the same drink everytime. So i called their...read more""},{""reviewer_text"":""This place is one of the best to study in. It is really quiet wherein all you'll hear is the sound of their music and the sound of the blenders making drinks. It also provides different types of areas to study in. There's an outdoor roadside setting, a sofa type setting, a high stool bar type and even a big table setting. It's great for those who want to really study or have a peaceful place to just stay in. Their Lemon Tea is also delicious.""}]","7am – 12:30am (Today)","Café - Coffee","Coffee","PHP400 for two people (approx.)","[{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""},{""services"":""Wifi""}]","5","https://www.zomato.com/cebu/restaurants?page=5"
"1592239251-364","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/ramen-yushoken-banilad-mandaue-city/info","Ramen Yushoken","Oakridge Business Park, A. S. Fortuna Street, Banilad, Mandaue City","+63323677017","[]","[]","354 Reviews","4.9","[]","Opens at 11am","Casual Dining - Japanese, Ramen","null","Friendly Staff, Prompt Service","[{""services"":""Beer""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""}]","",""
"1592238577-322","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/tides-shangri-las-mactan-resort-spa-punta-engano-lapu-lapu-city/info","Tides - Shangri-la's Mactan Resort & Spa","Shangri-la's Mactan Resort & Spa, Garden Level, Main Wing, Punta Engano, Lapu-Lapu City","+63322310288","[]","[]","53 Reviews","4.1","[]","Opens at 6am","Fine Dining - International","null","PHP1900 for two people (approx.) Without alcohol","[{""services"":""Breakfast""},{""services"":""Home Delivery""},{""services"":""Full Bar Available""},{""services"":""Indoor Seating""},{""services"":""Outdoor Seating""},{""services"":""Wifi""},{""services"":""Table booking recommended""},{""services"":""Buffet""}]","3","https://www.zomato.com/cebu/restaurants?page=3"
"1592238562-321","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/tom-n-toms-coffee-kasambagan/info","Tom N Tom's Coffee","The Greenery, Juan Luna Avenue, Kasambagan, Cebu City","+63325052111","[{""reviewer_name"":""Cristina Danielle Mercado""},{""reviewer_name"":""Andrea Aligato""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""4.0""}]","83 Reviews","4.2","[{""reviewer_text"":""I honestly love this place but sadly, it's far from my house so I can't be a regular there. Their drinks are tasty and their garlic toast is my favorite. It's quite a treat and it's a great place to study. Ambiance is nice.""},{""reviewer_text"":""Definitely the place to chill and unwind with a good cup of coffee and friendly staff. Place is accessible and their are parking spaces so you don't have to worry about parking too. Also, even if there are a lot of people, it doesn't feel like other coffee shops that it gets annoying when it's crowded. Good place!""}]","24 Hours (Today)","Café - Coffee, Bakery","Coffee, Tea","Friendly Staff","[{""services"":""Indoor Seating""},{""services"":""Wifi""},{""services"":""Desserts and Bakes""}]","3","https://www.zomato.com/cebu/restaurants?page=3"
"1592239068-352","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/tazza-cafe-patisserie-lahug/info","Tazza Cafe & Patisserie","Ground Floor, Tsai Hotel, Wilson Street, Lahug, Cebu City","+63322635321","[]","[]","118 Reviews","4.3","[]","Opens at 6:30am","Café - European, Coffee","null","Friendly Staff","[{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""},{""services"":""Wifi""}]","",""
"1592238275-305","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/cafe-talk-capitol-site-cebu-city/info","Cafe Talk","731 N. Escario Street, Capitol Site, Cebu City","+63324104541","[{""reviewer_name"":""Hungry Hieu""},{""reviewer_name"":""Musings Of A Libra""}]","[{""reviewer_rate"":""4.0""},{""reviewer_rate"":""3.0""}]","74 Reviews","3.1","[{""reviewer_text"":""Cute and cosy; perfect to hang out in a group or you can go solo for some me time. You just need to make one order per person to take advantage of one of their reading nooks. The decor comes with a nice selection of books, board games, and cute soft toys to snuggle up with. If you're hungry you can grab one of their western or Korean inspired dishes; these are a tad small but delicious.""},{""reviewer_text"":""I used to want to visit this place before. But upon visiting, I never wanna go back again. The place was full of random scribbles which I find very dirty. Their ramen was also weird-tasting.""}]","9am – 1am (Today)","Café - Coffee","Coffee","Board Games","[{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""},{""services"":""Wifi""}]","5","https://www.zomato.com/cebu/restaurants?page=5"
"1592238757-333","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/burrow-tsai-hotel-lahug/info","Burrow - Tsai Hotel","Ground Floor, Tsai Hotel, Wilson Street, Lahug, Cebu City 6000","+63323281074","[{""reviewer_name"":""Pat Constante""},{""reviewer_name"":""Geson John Gawchua Mandawe""}]","[{""reviewer_rate"":""3.0""},{""reviewer_rate"":""4.0""}]","136 Reviews","3.8","[{""reviewer_text"":""Food - Unliwings were okay. Not bad. I even remember comparing the original wings to Jollibee's. \n\nPlace - Located at the ground floor of Tsai Hotel in Lahug City. Simple interiors. \n\nPrice - For less than Php300, you get unlimited wings in 5 different flavors. Not a bad deal nowadays.""},{""reviewer_text"":""Very affordable! Staffs are polite and waiting time isn’t that long so you won’t get bored and all.""}]","Opens at 11am","Casual Dining - Filipino, American","Wings, Garlic Parmesan, Tea, Beer","PHP600 for two people (approx.) Without alcohol","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Beer""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""},{""services"":""Outdoor Seating""}]","3","https://www.zomato.com/cebu/restaurants?page=3"
"1592237803-282","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/mickys-cafe-kamputhaw/info","Micky's Cafe","7 Escario Street, Kamputhaw, Cebu City","+63322322567","[{""reviewer_name"":""Mary Grace General Adolfo""}]","[{""reviewer_rate"":""3.0""}]","53 Reviews","4.3","[{""reviewer_text"":""“Hey micky, you’re so fine you blow my mind, hey micky!” Micky’s so good for a tea partyyy. Their service is just extra! It’s a small place but they have many jap cakes for you to choose from. Yuumm""}]","Opens at 10:30am","Café - Desserts, Coffee","Coffee, Mango Cheesecake, Pasta, New York Cheesecake, Strawberry Shortcake, Pie","PHP600 for two people (approx.)","[{""services"":""Free Parking""},{""services"":""Indoor Seating""},{""services"":""Desserts and Bakes""},{""services"":""Outdoor Seating""}]","...","https://www.zomato.com/cebu/restaurants?page=6"
"1592238975-346","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/murrays-new-orleans-cebu-business-park-cebu-city/info","Murray's New Orleans","Fourth Floor, The Terraces, Ayala Center Cebu, Cebu Business Park, Cebu City","+63324012676","[]","[]","92 Reviews","4.1","[{""reviewer_text"":""""},{""reviewer_text"":""One of my favorite restaurants, service is superb, food tastes divine and food portion is relative to the price.""}]","Opens at 11am","Casual Dining - American","null","Decor, Live Music","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Wine and Beer""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""},{""services"":""Wifi""},{""services"":""Outdoor Seating""}]","2","https://www.zomato.com/cebu/restaurants?page=2"
"1592239113-355","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/circa-1900-lahug-cebu-city/info","Circa 1900","Casa Uno, Sanjercas Ville Extension Road, Gorordo Avenue, Lahug, Cebu City","+63324173886","[]","[]","174 Reviews","4.4","[]","Opens at 11am","Casual Dining - Asian, American","null","Romantic Dinner","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Full Bar Available""},{""services"":""Bottle Service""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""},{""services"":""Wifi""}]","",""
"1592238320-307","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/barikata-ramen-bar-lahug/info","Barikata Ramen Bar","Calyx Centre, IT Park, Lahug, Cebu City","+63322689582","[{""reviewer_name"":""Tiffy""},{""reviewer_name"":""Kyle Suarez""}]","[{""reviewer_rate"":""5.0""},{""reviewer_rate"":""5.0""}]","79 Reviews","4.3","[{""reviewer_text"":""Our go-to ramen place.""},{""reviewer_text"":""It was really my first time eating at this restau. When we dined, there wasn't so much people so eventhough the place was small we had ample seating and I would not need to worry our elbows might get hurt from passing diners. I love the ambiance, although, it was a little messy, I can still feel the japanese-y vibe in it. I love that they have an open kitchen, it gives me an idea on how my food was prepared and an idea for future business/ running a kitchen preferrences. Also, their attendants were very attentive 😅. Finally, for the food it was affordable for me. Like what I mentioned on my previous reviews for other restaus, quality and quantity should come together for me to judge it...read more""}]","Opens at 11:30am","Casual Dining - Japanese, Ramen","Ramen, Noodle, Gyoza","Prompt Service","[{""services"":""Beer""},{""services"":""Outdoor Seating""},{""services"":""Indoor Seating""},{""services"":""Table booking recommended""}]","4","https://www.zomato.com/cebu/restaurants?page=4"
"1592238030-293","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/makchang-banilad-mandaue-city-mandaue-city/info","Makchang","The Space, A. S. Fortuna Street, Banilad, Mandaue City","+63324108453","[{""reviewer_name"":""Musings Of A Libra""}]","[{""reviewer_rate"":""4.0""}]","62 Reviews","4.0","[{""reviewer_text"":""Everything was good- from their meat (I only ate beef since I don't eat pork) to their side dishes. They refilled side dishes fast and staff were attentive. Might come back again since it's relatively close to where I'm staying.""}]","11am – 4am (Today)","Casual Dining - Korean","Samgyupsal, Kimchi, Noodle, Bibimbap","PHP1150 for two people (approx.) Without alcohol","[{""services"":""Beer""},{""services"":""Indoor Seating""}]","5","https://www.zomato.com/cebu/restaurants?page=5"
"1592237783-281","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/wingers-unlimited-3-kamputhaw-cebu-city/info","Wingers Unlimited","Mango Square, General Maxilom Avenue, Kamputhaw, Cebu City","+639453481288","[{""reviewer_name"":""Kiana Caryn""},{""reviewer_name"":""Jarena Evangelio""}]","[{""reviewer_rate"":""3.0""},{""reviewer_rate"":""5.0""}]","76 Reviews","2.7","[{""reviewer_text"":""""},{""reviewer_text"":""Unlimited chicken, fries, drinks, and ice cream for 300 pesos only. Looking forward to find another branch in Manila.""}]","Opens at 11am","Quick Bites - American","null","","[{""services"":""Home Delivery""},{""services"":""Indoor Seating""}]","...","https://www.zomato.com/cebu/restaurants?page=6"
"1592238862-339","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/anzani-lahug-cebu-city/info","Anzani","Panorama Heights, Nivel Hills, Lahug, Cebu City","+63322327375","[]","[]","107 Reviews","4.3","[{""reviewer_text"":""""},{""reviewer_text"":""Great customer service. We had a reservation at 10pm on valentines day but we were stuck in traffic for almost 2 hours and when we called the restaurant they waited for us and accommodated us 5 mins before closing. When our friends informed them that they were going to prank us at the restaurant, they even helped them hide and participated in it. The food, especially their wine collection, and ambience is wonderful and I recommend this restaurant to anyone who wants to have a good time. The staff was really friendly.""}]","Opens at 11:30am","Fine Dining, Wine Bar - Mediterranean","null","Romantic Place","[{""services"":""Home Delivery""},{""services"":""Full Bar Available""},{""services"":""Wifi""},{""services"":""Indoor Seating""},{""services"":""Private Dining Area Available""},{""services"":""Outdoor Seating""},{""services"":""Luxury Dining""},{""services"":""Table booking recommended""}]","2","https://www.zomato.com/cebu/restaurants?page=2"
"1592238940-344","https://www.zomato.com/cebu/restaurants","","https://www.zomato.com/cebu/dolce-lahug/info","Dolce","Panorama Heights, Nivel Hills, Lahug, Cebu City","+63325127263","[]","[]","132 Reviews","4.0","[{""reviewer_text"":""Came here with my Valentine's date and we sat outside. I was kinda disappointed about almost everything I experienced here.\n☑ They don't have Meals, Sandwiches & Burgers available at the moment. So we just opt for their Carbonara. I was about to get the Penne Pasta but again, they only have the Spaghetti one. So I had no option.\n✅ I like the pasta, it's creamy and seasoned well. They have a large serving too.\n☑ I expected the bread to be crunchy but it's the exact opposite. Nothing too special with their blueberry cheesecake, I didn't taste the very hint of blueberry and the slice is very small for its price. Also, the Mango shake is great but they could have served it in a glass...read more""},{""reviewer_text"":""Legit ambiance, perfect for catching up, long night talks and group conversations.. Spaces not overcrowded, and just right for large groups.. Also has indoor and outdoor areas depending on your preference!""}]","7am – 1am (Today)","Café - Coffee, Desserts","null","Friendly Staff","[{""services"":""Home Delivery""},{""services"":""Takeaway Available""},{""services"":""Desserts and Bakes""},{""services"":""Outdoor Seating""},{""services"":""Wifi""},{""services"":""Indoor Seating""}]","2","https://www.zomato.com/cebu/restaurants?page=2"
